date,start_min,end_min,category,status,leader_attending
2025-03-04,540,600,meeting,confirmed,yes
2025-03-04,660,720,customer,confirmed,yes
2025-03-04,750,780,break,confirmed,yes
2025-03-05,540,600,meeting,confirmed,yes
2025-03-05,660,720,customer,confirmed,yes
2025-03-05,750,780,break,confirmed,yes
2025-03-05,900,960,team,tentative,yes
2025-03-06,540,600,meeting,confirmed,yes
2025-03-06,660,720,customer,confirmed,yes
2025-03-06,750,780,break,confirmed,yes
2025-03-07,540,600,meeting,confirmed,yes
2025-03-07,660,720,customer,confirmed,yes
2025-03-07,750,780,break,confirmed,yes
2025-03-10,480,1050,pto,confirmed,yes
2025-03-11,480,1050,pto,confirmed,yes
2025-03-12,480,1050,pto,confirmed,yes
2025-03-13,540,600,meeting,confirmed,yes
2025-03-13,660,720,customer,confirmed,yes
2025-03-13,750,780,break,confirmed,yes
2025-03-14,540,600,meeting,confirmed,yes
2025-03-14,660,720,customer,confirmed,yes
2025-03-14,750,780,break,confirmed,yes
2025-03-17,540,600,meeting,confirmed,yes
2025-03-17,660,720,customer,confirmed,yes
2025-03-17,750,780,break,confirmed,yes
2025-03-18,540,600,meeting,confirmed,yes
2025-03-18,660,720,customer,confirmed,yes
2025-03-18,750,780,break,confirmed,yes
2025-03-19,540,600,meeting,confirmed,yes
2025-03-19,660,720,customer,confirmed,yes
2025-03-19,750,780,break,confirmed,yes
2025-03-20,540,600,meeting,confirmed,yes
2025-03-20,660,720,customer,confirmed,yes
2025-03-20,750,780,break,confirmed,yes
2025-03-21,540,600,meeting,confirmed,yes
2025-03-21,660,720,customer,confirmed,yes
2025-03-21,750,780,break,confirmed,yes
2025-03-24,540,600,meeting,confirmed,yes
2025-03-24,660,720,customer,confirmed,yes
2025-03-24,750,780,break,confirmed,yes
2025-03-25,540,600,meeting,confirmed,yes
2025-03-25,660,720,customer,confirmed,yes
2025-03-25,750,780,break,confirmed,yes
2025-03-26,540,600,meeting,confirmed,yes
2025-03-26,660,720,customer,confirmed,yes
2025-03-26,750,780,break,confirmed,yes
2025-03-27,540,600,meeting,confirmed,yes
2025-03-27,660,720,customer,confirmed,yes
2025-03-27,750,780,break,confirmed,yes
2025-03-28,540,600,meeting,confirmed,yes
2025-03-28,660,720,customer,confirmed,yes
2025-03-28,750,780,break,confirmed,yes
2025-03-31,540,600,meeting,confirmed,yes
2025-03-31,660,720,customer,confirmed,yes
2025-03-31,750,780,break,confirmed,yes
2025-04-01,540,600,meeting,confirmed,yes
2025-04-01,660,720,customer,confirmed,yes
2025-04-01,750,780,break,confirmed,yes
2025-04-02,540,600,meeting,confirmed,yes
2025-04-02,660,720,customer,confirmed,yes
2025-04-02,750,780,break,confirmed,yes
2025-04-03,540,600,meeting,confirmed,yes
2025-04-03,660,720,customer,confirmed,yes
2025-04-03,750,780,break,confirmed,yes
2025-04-04,540,600,meeting,confirmed,yes
2025-04-04,660,720,customer,confirmed,yes
2025-04-04,750,780,break,confirmed,yes
2025-04-07,540,600,meeting,confirmed,yes
2025-04-07,660,720,customer,confirmed,yes
2025-04-07,750,780,break,confirmed,yes
2025-04-08,540,600,meeting,confirmed,yes
2025-04-08,660,720,customer,confirmed,yes
2025-04-08,750,780,break,confirmed,yes
2025-04-09,540,600,meeting,confirmed,yes
2025-04-09,660,720,customer,confirmed,yes
2025-04-09,750,780,break,confirmed,yes
2025-04-10,540,600,meeting,confirmed,yes
2025-04-10,660,720,customer,confirmed,yes
2025-04-10,750,780,break,confirmed,yes
2025-04-11,540,600,meeting,confirmed,yes
2025-04-11,660,720,customer,confirmed,yes
2025-04-11,750,780,break,confirmed,yes
2025-04-14,540,600,meeting,confirmed,yes
2025-04-14,660,720,customer,confirmed,yes
2025-04-14,750,780,break,confirmed,yes
2025-04-15,540,600,meeting,confirmed,yes
2025-04-15,660,720,customer,confirmed,yes
2025-04-15,750,780,break,confirmed,yes
2025-04-15,900,990,personal_appointment,confirmed,yes
2025-04-15,900,960,team,confirmed,no
2025-04-16,540,600,meeting,confirmed,yes
2025-04-16,660,720,customer,confirmed,yes
2025-04-16,750,780,break,confirmed,yes
2025-04-17,540,600,meeting,confirmed,yes
2025-04-17,660,720,customer,confirmed,yes
2025-04-17,750,780,break,confirmed,yes
2025-04-18,540,600,meeting,confirmed,yes
2025-04-18,660,720,customer,confirmed,yes
2025-04-18,750,780,break,confirmed,yes
2025-04-21,540,600,meeting,confirmed,yes
2025-04-21,660,720,customer,confirmed,yes
2025-04-21,750,780,break,confirmed,yes
2025-04-22,540,600,meeting,confirmed,yes
2025-04-22,660,720,customer,confirmed,yes
2025-04-22,750,780,break,confirmed,yes
2025-04-23,540,600,meeting,confirmed,yes
2025-04-23,660,720,customer,confirmed,yes
2025-04-23,750,780,break,confirmed,yes
2025-04-24,540,600,meeting,confirmed,yes
2025-04-24,660,720,customer,confirmed,yes
2025-04-24,750,780,break,confirmed,yes
2025-04-25,540,600,meeting,confirmed,yes
2025-04-25,660,720,customer,confirmed,yes
2025-04-25,750,780,break,confirmed,yes
2025-04-28,540,600,meeting,confirmed,yes
2025-04-28,660,720,customer,confirmed,yes
2025-04-28,750,780,break,confirmed,yes
2025-04-29,540,600,meeting,confirmed,yes
2025-04-29,660,720,customer,confirmed,yes
2025-04-29,750,780,break,confirmed,yes
2025-04-29,900,960,team,tentative,yes
2025-04-30,540,600,meeting,confirmed,yes
2025-04-30,660,720,customer,confirmed,yes
2025-04-30,750,780,break,confirmed,yes
2025-05-01,540,600,meeting,confirmed,yes
2025-05-01,660,720,customer,confirmed,yes
2025-05-01,750,780,break,confirmed,yes
2025-05-02,540,600,meeting,confirmed,yes
2025-05-02,660,720,customer,confirmed,yes
2025-05-02,750,780,break,confirmed,yes
2025-05-02,900,960,team,confirmed,no
2025-05-05,540,600,meeting,confirmed,yes
2025-05-05,660,720,customer,confirmed,yes
2025-05-05,750,780,break,confirmed,yes
2025-05-05,900,960,team,tentative,yes
2025-05-06,540,600,meeting,confirmed,yes
2025-05-06,660,720,customer,confirmed,yes
2025-05-06,750,780,break,confirmed,yes
2025-05-07,540,600,meeting,confirmed,yes
2025-05-07,660,720,customer,confirmed,yes
2025-05-07,750,780,break,confirmed,yes
2025-05-08,540,600,meeting,confirmed,yes
2025-05-08,660,720,customer,confirmed,yes
2025-05-08,750,780,break,confirmed,yes
2025-05-09,540,600,meeting,confirmed,yes
2025-05-09,660,720,customer,confirmed,yes
2025-05-09,750,780,break,confirmed,yes
2025-05-12,540,600,meeting,confirmed,yes
2025-05-12,660,720,customer,confirmed,yes
2025-05-12,750,780,break,confirmed,yes
2025-05-13,540,600,meeting,confirmed,yes
2025-05-13,660,720,customer,confirmed,yes
2025-05-13,750,780,break,confirmed,yes
2025-05-13,900,960,team,tentative,yes
2025-05-14,540,600,meeting,confirmed,yes
2025-05-14,660,720,customer,confirmed,yes
2025-05-14,750,780,break,confirmed,yes
2025-05-15,540,600,meeting,confirmed,yes
2025-05-15,660,720,customer,confirmed,yes
2025-05-15,750,780,break,confirmed,yes
2025-05-15,900,990,personal_appointment,confirmed,yes
2025-05-16,540,600,meeting,confirmed,yes
2025-05-16,660,720,customer,confirmed,yes
2025-05-16,750,780,break,confirmed,yes
2025-05-19,540,600,meeting,confirmed,yes
2025-05-19,660,720,customer,confirmed,yes
2025-05-19,750,780,break,confirmed,yes
2025-05-20,540,600,meeting,confirmed,yes
2025-05-20,660,720,customer,confirmed,yes
2025-05-20,750,780,break,confirmed,yes
2025-05-21,540,600,meeting,confirmed,yes
2025-05-21,660,720,customer,confirmed,yes
2025-05-21,750,780,break,confirmed,yes
2025-05-22,540,600,meeting,confirmed,yes
2025-05-22,660,720,customer,confirmed,yes
2025-05-22,750,780,break,confirmed,yes
2025-05-23,540,600,meeting,confirmed,yes
2025-05-23,660,720,customer,confirmed,yes
2025-05-23,750,780,break,confirmed,yes
2025-05-26,540,600,meeting,confirmed,yes
2025-05-26,660,720,customer,confirmed,yes
2025-05-26,750,780,break,confirmed,yes
2025-05-27,540,600,meeting,confirmed,yes
2025-05-27,660,720,customer,confirmed,yes
2025-05-27,750,780,break,confirmed,yes
2025-05-28,540,600,meeting,confirmed,yes
2025-05-28,660,720,customer,confirmed,yes
2025-05-28,750,780,break,confirmed,yes
2025-05-29,540,600,meeting,confirmed,yes
2025-05-29,660,720,customer,confirmed,yes
2025-05-29,750,780,break,confirmed,yes
2025-05-30,540,600,meeting,confirmed,yes
2025-05-30,660,720,customer,confirmed,yes
2025-05-30,750,780,break,confirmed,yes
2025-06-02,540,600,meeting,confirmed,yes
2025-06-02,660,720,customer,confirmed,yes
2025-06-02,750,780,break,confirmed,yes
2025-06-03,540,600,meeting,confirmed,yes
2025-06-03,660,720,customer,confirmed,yes
2025-06-03,750,780,break,confirmed,yes
2025-06-04,540,600,meeting,confirmed,yes
2025-06-04,660,720,customer,confirmed,yes
2025-06-04,750,780,break,confirmed,yes
2025-06-05,540,600,meeting,confirmed,yes
2025-06-05,660,720,customer,confirmed,yes
2025-06-05,750,780,break,confirmed,yes
2025-06-06,540,600,meeting,confirmed,yes
2025-06-06,660,720,customer,confirmed,yes
2025-06-06,750,780,break,confirmed,yes
2025-06-09,540,600,meeting,confirmed,yes
2025-06-09,660,720,customer,confirmed,yes
2025-06-09,750,780,break,confirmed,yes
2025-06-10,540,600,meeting,confirmed,yes
2025-06-10,660,720,customer,confirmed,yes
2025-06-10,750,780,break,confirmed,yes
2025-06-11,540,600,meeting,confirmed,yes
2025-06-11,660,720,customer,confirmed,yes
2025-06-11,750,780,break,confirmed,yes
2025-06-12,540,600,meeting,confirmed,yes
2025-06-12,660,720,customer,confirmed,yes
2025-06-12,750,780,break,confirmed,yes
2025-06-13,540,600,meeting,confirmed,yes
2025-06-13,660,720,customer,confirmed,yes
2025-06-13,750,780,break,confirmed,yes
2025-06-16,540,600,meeting,confirmed,yes
2025-06-16,660,720,customer,confirmed,yes
2025-06-16,750,780,break,confirmed,yes
2025-06-16,900,960,meeting,declined,yes
2025-06-17,540,600,meeting,confirmed,yes
2025-06-17,660,720,customer,confirmed,yes
2025-06-17,750,780,break,confirmed,yes
2025-06-17,900,960,meeting,declined,yes
2025-06-18,540,600,meeting,confirmed,yes
2025-06-18,660,720,customer,confirmed,yes
2025-06-18,750,780,break,confirmed,yes
2025-06-19,540,600,meeting,confirmed,yes
2025-06-19,660,720,customer,confirmed,yes
2025-06-19,750,780,break,confirmed,yes
2025-06-20,540,600,meeting,confirmed,yes
2025-06-20,660,720,customer,confirmed,yes
2025-06-20,750,780,break,confirmed,yes
2025-06-23,540,600,meeting,confirmed,yes
2025-06-23,660,720,customer,confirmed,yes
2025-06-23,750,780,break,confirmed,yes
2025-06-24,540,600,meeting,confirmed,yes
2025-06-24,660,720,customer,confirmed,yes
2025-06-24,750,780,break,confirmed,yes
2025-06-24,900,960,team,tentative,yes
2025-06-25,540,600,meeting,confirmed,yes
2025-06-25,660,720,customer,confirmed,yes
2025-06-25,750,780,break,confirmed,yes
2025-06-26,540,600,meeting,confirmed,yes
2025-06-26,660,720,customer,confirmed,yes
2025-06-26,750,780,break,confirmed,yes
2025-06-27,540,600,meeting,confirmed,yes
2025-06-27,660,720,customer,confirmed,yes
2025-06-27,750,780,break,confirmed,yes
2025-06-30,540,600,meeting,confirmed,yes
2025-06-30,660,720,customer,confirmed,yes
2025-06-30,750,780,break,confirmed,yes
2025-07-01,540,600,meeting,confirmed,yes
2025-07-01,660,720,customer,confirmed,yes
2025-07-01,750,780,break,confirmed,yes
2025-07-01,900,960,meeting,declined,yes
2025-07-02,540,600,meeting,confirmed,yes
2025-07-02,660,720,customer,confirmed,yes
2025-07-02,750,780,break,confirmed,yes
2025-07-02,900,960,team,tentative,yes
2025-07-03,540,600,meeting,confirmed,yes
2025-07-03,660,720,customer,confirmed,yes
2025-07-03,750,780,break,confirmed,yes
2025-07-04,480,1050,holiday,confirmed,yes
2025-07-07,540,600,meeting,confirmed,yes
2025-07-07,660,720,customer,confirmed,yes
2025-07-07,750,780,break,confirmed,yes
2025-07-08,540,600,meeting,confirmed,yes
2025-07-08,660,720,customer,confirmed,yes
2025-07-08,750,780,break,confirmed,yes
2025-07-09,540,600,meeting,confirmed,yes
2025-07-09,660,720,customer,confirmed,yes
2025-07-09,750,780,break,confirmed,yes
2025-07-10,480,1050,pto,confirmed,yes
2025-07-11,480,1050,pto,confirmed,yes
2025-07-14,540,600,meeting,confirmed,yes
2025-07-14,660,720,customer,confirmed,yes
2025-07-14,750,780,break,confirmed,yes
2025-07-15,540,600,meeting,confirmed,yes
2025-07-15,660,720,customer,confirmed,yes
2025-07-15,750,780,break,confirmed,yes
2025-07-15,900,990,personal_appointment,confirmed,yes
2025-07-16,540,600,meeting,confirmed,yes
2025-07-16,660,720,customer,confirmed,yes
2025-07-16,750,780,break,confirmed,yes
2025-07-17,540,600,meeting,confirmed,yes
2025-07-17,660,720,customer,confirmed,yes
2025-07-17,750,780,break,confirmed,yes
2025-07-18,540,600,meeting,confirmed,yes
2025-07-18,660,720,customer,confirmed,yes
2025-07-18,750,780,break,confirmed,yes
2025-07-18,900,960,team,tentative,yes
2025-07-21,540,600,meeting,confirmed,yes
2025-07-21,660,720,customer,confirmed,yes
2025-07-21,750,780,break,confirmed,yes
2025-07-22,540,600,meeting,confirmed,yes
2025-07-22,660,720,customer,confirmed,yes
2025-07-22,750,780,break,confirmed,yes
2025-07-22,900,960,team,tentative,yes
2025-07-23,540,600,meeting,confirmed,yes
2025-07-23,660,720,customer,confirmed,yes
2025-07-23,750,780,break,confirmed,yes
2025-07-24,540,600,meeting,confirmed,yes
2025-07-24,660,720,customer,confirmed,yes
2025-07-24,750,780,break,confirmed,yes
2025-07-25,540,600,meeting,confirmed,yes
2025-07-25,660,720,customer,confirmed,yes
2025-07-25,750,780,break,confirmed,yes
2025-07-28,540,600,meeting,confirmed,yes
2025-07-28,660,720,customer,confirmed,yes
2025-07-28,750,780,break,confirmed,yes
2025-07-29,540,600,meeting,confirmed,yes
2025-07-29,660,720,customer,confirmed,yes
2025-07-29,750,780,break,confirmed,yes
2025-07-30,540,600,meeting,confirmed,yes
2025-07-30,660,720,customer,confirmed,yes
2025-07-30,750,780,break,confirmed,yes
2025-07-31,540,600,meeting,confirmed,yes
2025-07-31,660,720,customer,confirmed,yes
2025-07-31,750,780,break,confirmed,yes
2025-08-01,540,600,meeting,confirmed,yes
2025-08-01,660,720,customer,confirmed,yes
2025-08-01,750,780,break,confirmed,yes
2025-08-04,540,600,meeting,confirmed,yes
2025-08-04,660,720,customer,confirmed,yes
2025-08-04,750,780,break,confirmed,yes
2025-08-05,540,600,meeting,confirmed,yes
2025-08-05,660,720,customer,confirmed,yes
2025-08-05,750,780,break,confirmed,yes
2025-08-06,540,600,meeting,confirmed,yes
2025-08-06,660,720,customer,confirmed,yes
2025-08-06,750,780,break,confirmed,yes
2025-08-07,540,600,meeting,confirmed,yes
2025-08-07,660,720,customer,confirmed,yes
2025-08-07,750,780,break,confirmed,yes
2025-08-07,900,960,meeting,declined,yes
2025-08-08,540,600,meeting,confirmed,yes
2025-08-08,660,720,customer,confirmed,yes
2025-08-08,750,780,break,confirmed,yes
2025-08-11,540,600,meeting,confirmed,yes
2025-08-11,660,720,customer,confirmed,yes
2025-08-11,750,780,break,confirmed,yes
2025-08-12,540,600,meeting,confirmed,yes
2025-08-12,660,720,customer,confirmed,yes
2025-08-12,750,780,break,confirmed,yes
2025-08-12,900,960,team,tentative,yes
2025-08-12,900,960,meeting,declined,yes
2025-08-13,540,600,meeting,confirmed,yes
2025-08-13,660,720,customer,confirmed,yes
2025-08-13,750,780,break,confirmed,yes
2025-08-14,540,600,meeting,confirmed,yes
2025-08-14,660,720,customer,confirmed,yes
2025-08-14,750,780,break,confirmed,yes
2025-08-15,540,600,meeting,confirmed,yes
2025-08-15,660,720,customer,confirmed,yes
2025-08-15,750,780,break,confirmed,yes
2025-08-15,900,990,personal_appointment,confirmed,yes
2025-08-18,540,600,meeting,confirmed,yes
2025-08-18,660,720,customer,confirmed,yes
2025-08-18,750,780,break,confirmed,yes
2025-08-19,540,600,meeting,confirmed,yes
2025-08-19,660,720,customer,confirmed,yes
2025-08-19,750,780,break,confirmed,yes
2025-08-20,540,600,meeting,confirmed,yes
2025-08-20,660,720,customer,confirmed,yes
2025-08-20,750,780,break,confirmed,yes
2025-08-21,540,600,meeting,confirmed,yes
2025-08-21,660,720,customer,confirmed,yes
2025-08-21,750,780,break,confirmed,yes
2025-08-22,540,600,meeting,confirmed,yes
2025-08-22,660,720,customer,confirmed,yes
2025-08-22,750,780,break,confirmed,yes
2025-08-25,540,600,meeting,confirmed,yes
2025-08-25,660,720,customer,confirmed,yes
2025-08-25,750,780,break,confirmed,yes
2025-08-26,540,600,meeting,confirmed,yes
2025-08-26,660,720,customer,confirmed,yes
2025-08-26,750,780,break,confirmed,yes
2025-08-27,540,600,meeting,confirmed,yes
2025-08-27,660,720,customer,confirmed,yes
2025-08-27,750,780,break,confirmed,yes
2025-08-28,540,600,meeting,confirmed,yes
2025-08-28,660,720,customer,confirmed,yes
2025-08-28,750,780,break,confirmed,yes
2025-08-29,540,600,meeting,confirmed,yes
2025-08-29,660,720,customer,confirmed,yes
2025-08-29,750,780,break,confirmed,yes
2025-09-01,540,600,meeting,confirmed,yes
2025-09-01,660,720,customer,confirmed,yes
2025-09-01,750,780,break,confirmed,yes
2025-09-02,540,600,meeting,confirmed,yes
2025-09-02,660,720,customer,confirmed,yes
2025-09-02,750,780,break,confirmed,yes
2025-09-03,540,600,meeting,confirmed,yes
2025-09-03,660,720,customer,confirmed,yes
2025-09-03,750,780,break,confirmed,yes
2025-09-04,540,600,meeting,confirmed,yes
2025-09-04,660,720,customer,confirmed,yes
2025-09-04,750,780,break,confirmed,yes
2025-09-05,540,600,meeting,confirmed,yes
2025-09-05,660,720,customer,confirmed,yes
2025-09-05,750,780,break,confirmed,yes
2025-09-08,540,600,meeting,confirmed,yes
2025-09-08,660,720,customer,confirmed,yes
2025-09-08,750,780,break,confirmed,yes
2025-09-09,540,600,meeting,confirmed,yes
2025-09-09,660,720,customer,confirmed,yes
2025-09-09,750,780,break,confirmed,yes
2025-09-09,900,960,meeting,declined,yes
2025-09-10,540,600,meeting,confirmed,yes
2025-09-10,660,720,customer,confirmed,yes
2025-09-10,750,780,break,confirmed,yes
2025-09-10,900,960,meeting,declined,yes
2025-09-11,540,600,meeting,confirmed,yes
2025-09-11,660,720,customer,confirmed,yes
2025-09-11,750,780,break,confirmed,yes
2025-09-12,540,600,meeting,confirmed,yes
2025-09-12,660,720,customer,confirmed,yes
2025-09-12,750,780,break,confirmed,yes
2025-09-15,540,600,meeting,confirmed,yes
2025-09-15,660,720,customer,confirmed,yes
2025-09-15,750,780,break,confirmed,yes
2025-09-15,900,990,personal_appointment,confirmed,yes
2025-09-16,540,600,meeting,confirmed,yes
2025-09-16,660,720,customer,confirmed,yes
2025-09-16,750,780,break,confirmed,yes
2025-09-16,900,960,team,tentative,yes
2025-09-17,540,600,meeting,confirmed,yes
2025-09-17,660,720,customer,confirmed,yes
2025-09-17,750,780,break,confirmed,yes
2025-09-18,540,600,meeting,confirmed,yes
2025-09-18,660,720,customer,confirmed,yes
2025-09-18,750,780,break,confirmed,yes
2025-09-19,540,600,meeting,confirmed,yes
2025-09-19,660,720,customer,confirmed,yes
2025-09-19,750,780,break,confirmed,yes
2025-09-22,540,600,meeting,confirmed,yes
2025-09-22,660,720,customer,confirmed,yes
2025-09-22,750,780,break,confirmed,yes
2025-09-23,540,600,meeting,confirmed,yes
2025-09-23,660,720,customer,confirmed,yes
2025-09-23,750,780,break,confirmed,yes
2025-09-23,900,960,meeting,declined,yes
2025-09-23,900,960,team,confirmed,no
2025-09-24,540,600,meeting,confirmed,yes
2025-09-24,660,720,customer,confirmed,yes
2025-09-24,750,780,break,confirmed,yes
2025-09-25,540,600,meeting,confirmed,yes
2025-09-25,660,720,customer,confirmed,yes
2025-09-25,750,780,break,confirmed,yes
2025-09-26,540,600,meeting,confirmed,yes
2025-09-26,660,720,customer,confirmed,yes
2025-09-26,750,780,break,confirmed,yes
2025-09-29,540,600,meeting,confirmed,yes
2025-09-29,660,720,customer,confirmed,yes
2025-09-29,750,780,break,confirmed,yes
2025-09-30,540,600,meeting,confirmed,yes
2025-09-30,660,720,customer,confirmed,yes
2025-09-30,750,780,break,confirmed,yes
2025-10-01,540,600,meeting,confirmed,yes
2025-10-01,660,720,customer,confirmed,yes
2025-10-01,750,780,break,confirmed,yes
2025-10-01,900,960,team,tentative,yes
2025-10-02,540,600,meeting,confirmed,yes
2025-10-02,660,720,customer,confirmed,yes
2025-10-02,750,780,break,confirmed,yes
2025-10-03,540,600,meeting,confirmed,yes
2025-10-03,660,720,customer,confirmed,yes
2025-10-03,750,780,break,confirmed,yes
2025-10-06,540,600,meeting,confirmed,yes
2025-10-06,660,720,customer,confirmed,yes
2025-10-06,750,780,break,confirmed,yes
2025-10-07,540,600,meeting,confirmed,yes
2025-10-07,660,720,customer,confirmed,yes
2025-10-07,750,780,break,confirmed,yes
2025-10-08,540,600,meeting,confirmed,yes
2025-10-08,660,720,customer,confirmed,yes
2025-10-08,750,780,break,confirmed,yes
2025-10-08,900,960,team,tentative,yes
2025-10-09,540,600,meeting,confirmed,yes
2025-10-09,660,720,customer,confirmed,yes
2025-10-09,750,780,break,confirmed,yes
2025-10-10,540,600,meeting,confirmed,yes
2025-10-10,660,720,customer,confirmed,yes
2025-10-10,750,780,break,confirmed,yes
2025-10-13,540,600,meeting,confirmed,yes
2025-10-13,660,720,customer,confirmed,yes
2025-10-13,750,780,break,confirmed,yes
2025-10-14,540,600,meeting,confirmed,yes
2025-10-14,660,720,customer,confirmed,yes
2025-10-14,750,780,break,confirmed,yes
2025-10-14,900,960,team,tentative,yes
2025-10-15,540,600,meeting,confirmed,yes
