id,scenario,events,status,before_leave_days_per_week,after_leave_days_per_week,before_break_days_per_week,after_break_days_per_week,before_after_hours_per_week,after_after_hours_per_week
35,after_hours_rises,1377,pass,0.359,0.41,4.795,4.744,0.0,4.744
36,breaks_decline,1026,pass,0.359,0.41,4.795,0.0,0.0,0.0
37,appointments_rescheduled,1213,pass,0.359,0.59,4.795,4.744,0.0,0.0
38,team_heavy,1194,pass,0.359,0.41,4.795,4.744,0.0,0.0
39,double_booked,1567,pass,0.359,0.41,4.795,4.744,0.0,0.0
40,sparse,719,pass,0.359,0.41,4.795,4.744,0.0,0.0
41,ai_labeled,1383,pass,0.359,0.41,4.795,4.744,0.0,0.0
42,sick_time_variable,1181,pass,0.487,0.513,4.667,4.641,0.0,0.0
43,holidays,1199,pass,0.359,0.41,4.795,4.744,0.0,0.0
44,conflicting_leave_work,1232,pass,0.513,0.59,4.795,4.744,0.0,0.0
45,mixed_complex,1950,pass,0.359,0.41,4.795,4.744,0.0,4.744
46,baseline,1208,pass,0.359,0.41,4.795,4.744,0.0,0.0
47,leave_protected,1205,pass,0.359,0.41,4.795,4.744,0.0,0.0
48,leave_declines,1216,pass,0.359,0.256,4.795,4.897,0.0,0.0
49,leave_increases,1212,pass,0.359,0.641,4.795,4.513,0.0,0.0
50,after_hours_rises,1407,pass,0.359,0.41,4.795,4.744,0.0,4.744
51,breaks_decline,1027,pass,0.359,0.41,4.795,0.0,0.0,0.0
52,appointments_rescheduled,1199,pass,0.359,0.59,4.795,4.744,0.0,0.0
53,team_heavy,1193,pass,0.359,0.41,4.795,4.744,0.0,0.0
54,double_booked,1569,pass,0.359,0.41,4.795,4.744,0.0,0.0
55,sparse,711,pass,0.359,0.41,4.795,4.744,0.0,0.0
56,ai_labeled,1402,pass,0.359,0.41,4.795,4.744,0.0,0.0
57,sick_time_variable,1185,pass,0.487,0.513,4.667,4.641,0.0,0.0
58,holidays,1213,pass,0.359,0.41,4.795,4.744,0.0,0.0
59,conflicting_leave_work,1231,pass,0.513,0.59,4.795,4.744,0.0,0.0
60,mixed_complex,1940,pass,0.359,0.41,4.795,4.744,0.0,4.744
61,baseline,1201,pass,0.359,0.41,4.795,4.744,0.0,0.0
62,leave_protected,1208,pass,0.359,0.41,4.795,4.744,0.0,0.0
63,leave_declines,1225,pass,0.359,0.256,4.795,4.897,0.0,0.0
64,leave_increases,1186,pass,0.359,0.641,4.795,4.513,0.0,0.0
65,after_hours_rises,1380,pass,0.359,0.41,4.795,4.744,0.0,4.744
66,breaks_decline,1022,pass,0.359,0.41,4.795,0.0,0.0,0.0
67,appointments_rescheduled,1198,pass,0.359,0.59,4.795,4.744,0.0,0.0
68,team_heavy,1202,pass,0.359,0.41,4.795,4.744,0.0,0.0
69,double_booked,1574,pass,0.359,0.41,4.795,4.744,0.0,0.0
70,sparse,704,pass,0.359,0.41,4.795,4.744,0.0,0.0
71,ai_labeled,1394,pass,0.359,0.41,4.795,4.744,0.0,0.0
72,sick_time_variable,1175,pass,0.487,0.513,4.667,4.641,0.0,0.0
73,holidays,1204,pass,0.359,0.41,4.795,4.744,0.0,0.0
74,conflicting_leave_work,1221,pass,0.513,0.59,4.795,4.744,0.0,0.0
75,mixed_complex,1942,pass,0.359,0.41,4.795,4.744,0.0,4.744
76,baseline,1189,pass,0.359,0.41,4.795,4.744,0.0,0.0
77,leave_protected,1199,pass,0.359,0.41,4.795,4.744,0.0,0.0
78,leave_declines,1220,pass,0.359,0.256,4.795,4.897,0.0,0.0
79,leave_increases,1184,pass,0.359,0.641,4.795,4.513,0.0,0.0
80,after_hours_rises,1393,pass,0.359,0.41,4.795,4.744,0.0,4.744
81,breaks_decline,1024,pass,0.359,0.41,4.795,0.0,0.0,0.0
82,appointments_rescheduled,1204,pass,0.359,0.59,4.795,4.744,0.0,0.0
83,team_heavy,1210,pass,0.359,0.41,4.795,4.744,0.0,0.0
84,double_booked,1576,pass,0.359,0.41,4.795,4.744,0.0,0.0
85,sparse,717,pass,0.359,0.41,4.795,4.744,0.0,0.0
86,ai_labeled,1385,pass,0.359,0.41,4.795,4.744,0.0,0.0
87,sick_time_variable,1183,pass,0.487,0.513,4.667,4.641,0.0,0.0
88,holidays,1202,pass,0.359,0.41,4.795,4.744,0.0,0.0
89,conflicting_leave_work,1225,pass,0.513,0.59,4.795,4.744,0.0,0.0
90,mixed_complex,1947,pass,0.359,0.41,4.795,4.744,0.0,4.744
91,baseline,1205,pass,0.359,0.41,4.795,4.744,0.0,0.0
92,leave_protected,1200,pass,0.359,0.41,4.795,4.744,0.0,0.0
93,leave_declines,1214,pass,0.359,0.256,4.795,4.897,0.0,0.0
94,leave_increases,1185,pass,0.359,0.641,4.795,4.513,0.0,0.0
95,after_hours_rises,1387,pass,0.359,0.41,4.795,4.744,0.0,4.744
96,breaks_decline,1021,pass,0.359,0.41,4.795,0.0,0.0,0.0
97,appointments_rescheduled,1212,pass,0.359,0.59,4.795,4.744,0.0,0.0
98,team_heavy,1210,pass,0.359,0.41,4.795,4.744,0.0,0.0
99,double_booked,1581,pass,0.359,0.41,4.795,4.744,0.0,0.0
100,sparse,708,pass,0.359,0.41,4.795,4.744,0.0,0.0
